구분(4),구분(1)_x,구분(2)_x,구분(3)_x,2019.01,2019.02,2019.03,2019.04,2019.05,2019.06,2019.07,2019.08,2019.09,2019.10,2019.11,2019.12,구분(1)_y,구분(2)_y,구분(3)_y,2011.01,2011.02,2011.03,2011.04,2011.05,2011.06,2011.07,2011.08,2011.09,2011.10,2011.11,2011.12
녹산동,도시대기,부산,강서구,49,51,51,41,54*,39,32,36,30,33,41,42,도시대기,부산,강서구,39,66,58,61,79,53,44,41,41,48,54,49
논산,도시대기,충남,논산,65,64,70,39,50,35,26,29,26,34,46,42,,,,,,,,,,,,,,,
논현,도시대기,인천,남동구,62,57,68,41,50,30,33,32,27,29,35,37,도시대기,인천,남동구,45,77,77,66,84,47,31,32,37,54,48,48
농성동,도시대기,광주,서구,55,60,68,47,51,40,30,31,27,35,43,34,도시대기,광주,서구,26,47,45,46,58,33,23,23,26,35,34,30
농소동,도시대기,울산,북구,51,50,49,39,44,29,23,27,27,31,43,41,도시대기,울산,북구,38,60,63,55,70,49,36,28,31,44,44,39
다사읍,도시대기,대구,달성군,-,53*,55,41,47,36,29,30,31,32,42,40,,,,,,,,,,,,,,,
단대동,도시대기,경기,성남,61,52,61,36,50,30,28,28,25,32,40,38,도시대기,경기,성남,44,82,73,67,79,57,40,39,40,54,47,51
담양읍,도시대기,전남,담양,55,58,63,37,42,42,31,26,21,27,39,27,,,,,,,,,,,,,,,
당동,도시대기,경기,군포,70,63,82,60,71,44,51*,31**,27,40,47,47,도시대기,경기,군포,50,90,77,70,86,69,53,40,41,54,45,44
당리동,도시대기,부산,사하구,-,-,-,-,-,-,20,22,16,19,27,30,,,,,,,,,,,,,,,
당산동,,,,,,,,,,,,,,,,도시대기,서울,영등포구,47,80,71,59,79,46,29,27,31,46,40,47
당진시청사,도시대기,충남,당진,65,61,76,50,57,33,27,29,29,43,50,47,,,,,,,,,,,,,,,
대가야읍,도시대기,경북,고령,-,-,-,-,-,-,-,-,-,24**,31,31,,,,,,,,,,,,,,,
대광동,도시대기,경북,김천,-,67**,60,43,44,32,26,25,23,32,43,45,,,,,,,,,,,,,,,
대도동,도시대기,경북,포항,47,41,56,44,50,37,30,30,28,32,40,36,도시대기,경북,포항,45,66,70,58,71,49,31,28,35,49,50,47
대명동,도시대기,대구,남구,59,55,54,39,45,30,22,23,21,26,44,45,도시대기,대구,남구,26,57,41,36,49,31,43,33,21,31,35,29
대부동,도시대기,경기,안산,62,56,71,40,46,24,24,28,25,36,41,42,도시대기,경기,안산,41,79,70,63,79,37,28,31,34,48,43,44
대산리,도시대기,충남,서산,48,43,50,33,43,29,27,30,28,37,39,39,,,,,,,,,,,,,,,
대산면,교외대기,경남,창원,46,-,-,-,43,32,21,24,20,29,40,39,교외대기,경남,창원,50,73,63,57,79,59,36,32,36,49,49,48
대성동,도시대기,대전,동구,58,55,59,36,36,26,20,21,21,25,38,37,,,,,,,,,,,,,,,
대송동,도시대기,울산,동구,45,43,46,37,45,30,31,32,28,27,31,27,도시대기,울산,동구,46,64,55,49,62,41,35,32,32,45,40,41
대송면,도시대기,경북,포항,47,45,48,40,45,34,27,27,24,31,37,33,도시대기,경북,포항,33,44,57,57,71,61,46,42,40,41,44,-
대신동,도시대기,부산,서구,51,50,50,39,47,32,29,31,25,28,38,37,,,,,,,,,,,,,,,
대안동,도시대기,경남,진주,45,48,50,40,45,36,30,32,28,28,36,30,도시대기,경남,진주,41,60,52,55,78,50,32,30,28,42,42,48
대야동,도시대기,경기,시흥,74,65,79,50,63,35,33,33,31,44,51,48,도시대기,경기,시흥,51,87,76,65,85,47,34,35,37,52,46,48
대연동,도시대기,부산,남구,43,42,45,36,47,31,27,31,24,26,33,31,도시대기,부산,남구,35,55,56,58,82,64,62,56,44,47,45,45
대왕판교로(백현동),도로변대기,경기,성남,44,55,63,41,48,30,31,31,25,33,42,44,도로변대기,경기,성남,-,-,-,-,-,52,38,36,36,49,45,53
대저동,도시대기,부산,강서구,60,56,56,44,52*,34**,25,30,24,27,34,39,도시대기,부산,강서구,43,65,59,59,74,46,34,31,34,50,51,51
대정읍,도시대기,제주,서귀포,35,42,51,35,44,30,24,30,21,32,40,30,,,,,,,,,,,,,,,
대천2동,도시대기,충남,보령,55,55,65,40,53,30,18,22,21,32,37,34,,,,,,,,,,,,,,,
대치동,,,,,,,,,,,,,,,,도시대기,서울,강남구,48,82,70,60,76,45,29,30,34,47,38,46
대흥동,,,,,,,,,,,,,,,,도시대기,서울,마포구,50,83,71,58,79,47,29,27,31,45,41,50
대흥동1,도로변대기,대전,대전,73,77,79,51,51,33,23,27,20,25,49,50,도로변대기,대전,대전,64,91,83,73,79,53,32,28,33,50,52,58
덕신리,도시대기,울산,울주군,42,43,45,37,45,32,29,31,28,25,29,28,도시대기,울산,울주군,33,54,56,50,67,49,34,32,26,36,35,33
덕적도,교외대기,인천,옹진군,49,48,49,40,50,27,25,29,29,36,37,35,교외대기,인천,옹진군,48,80,86,64,89,43,30,31,41,47,41,39
덕천동,도시대기,부산,북구,53,51,54,48,36*,29,28,30,24,28,37,40,도시대기,부산,북구,48,63,63,61,66,58,46,40,37,39,38,40
덕충동,도시대기,전남,여수,41,45,43,32,41,34,28,32,25,25,33,26,,,,,,,,,,,,,,,
덕포동,도시대기,부산,사상구,52,48,51,41,51,33,25,28,23,26,36,40,,,,,,,,,,,,,,,
도고면,도시대기,충남,아산,63,59,79,50,58,38,26,26,24,45,54,51,,,,,,,,,,,,,,,
도봉구,도시대기,서울,도봉구,62,52,65,38,53,29,23,20,17,25,32,38,,,,,,,,,,,,,,,
도산대로,도로변대기,서울,서울,51,62,75,50,64,34,24**,28,26,33*,46**,42,,,,,,,,,,,,,,,
